XM_040194501.1	chrI	20565140	20565140	chrI	20610083	20612048	+	XM_040194501.1	path1	Q2HJ66	Gap junction gamma-1 protein	Gap junction alpha-7 protein;	 PF00029;	 GO:0005922;GO:0016021;GO:0005243;GO:0007267;	  C:connexin complex; C:integral component of membrane;	  F:gap junction channel activity;	  P:cell-cell signaling;
XM_040175727.1	chrI	20638786	20638786	chrI	20630130	20633908	-	XM_040175727.1	path1	Q8VE22 Q9CXH1	28S ribosomal protein S23, mitochondrial		 PF10484;	 GO:0005763;GO:0005739;GO:0031965;GO:0003735;GO:0006412;	  C:mitochondrial small ribosomal subunit; C:mitochondrion; C:nuclear membrane;	  F:structural constituent of ribosome;	  P:translation;
XM_040175715.1	chrI	20638786	20638786	chrI	20633849	20658177	+	XM_040175715.1	path1	Q8CHT1 Q8R204 Q923H2 Q9JHT9	Ephexin-1	Eph-interacting exchange protein;Neuronal guanine nucleotide exchange factor;	 PF00169;PF00621;PF00018;	 GO:0005829;GO:0098978;GO:0030426;GO:0016020;GO:0046875;GO:0005085;GO:0090630;GO:0030154;GO:0009987;GO:0048013;GO:0061002;GO:0007399;GO:0043087;GO:0098883;	  C:cytosol; C:glutamatergic synapse; C:growth cone; C:membrane;	  F:ephrin receptor binding; F:guanyl-nucleotide exchange factor activity;	  P:activation of GTPase activity; P:cell differentiation; P:cellular process; P:ephrin receptor signaling pathway; P:negative regulation of dendritic spine morphogenesis; P:nervous system development; P:regulation of GTPase activity; P:synapse pruning;
XM_040178053.1	chrI	20638786	20638786	chrI	20685538	20686504	-	XM_040178053.1	path1	Q5QNP2	Trace amine-associated receptor 13c {ECO:0000312|ZFIN:ZDB-GENE-041014-60}		 PF00001;	 GO:0016021;GO:0005886;GO:0008227;GO:0004984;GO:0019808;GO:0019810;GO:0001594;GO:0007610;GO:0050911;GO:1990834;GO:0007606;GO:0009995;	  C:integral component of membrane; C:plasma membrane;	  F:G protein-coupled amine receptor activity; F:olfactory receptor activity; F:polyamine binding; F:putrescine binding; F:trace-amine receptor activity;	  P:behavior; P:detection of chemical stimulus involved in sensory perception of smell; P:response to odorant; P:sensory perception of chemical stimulus; P:soluble molecule recognition;
XR_005712686.1	chrI	20667517	20667517	chrI	20710484	20732081	+	XR_005712686.1	path1	Q9QX47 E3WC91 E9PXW2 E9Q3H8 E9Q3I0 E9Q6M4 E9Q7G2 E9QAR8 E9QMT0 Q811G3 Q9CQ12 Q9CQK6 Q9QXP5	Protein SON	Negative regulatory element-binding protein;	 PF01585;	 GO:0016607;GO:0003677;GO:0003723;GO:0050733;GO:0000226;GO:0000281;GO:0006397;GO:0043066;GO:0051726;GO:0048024;GO:0043484;GO:0008380;	  C:nuclear speck;	  F:DNA binding; F:RNA binding; F:RS domain binding;	  P:microtubule cytoskeleton organization; P:mitotic cytokinesis; P:mRNA processing; P:negative regulation of apoptotic process; P:regulation of cell cycle; P:regulation of mRNA splicing, via spliceosome; P:regulation of RNA splicing; P:RNA splicing;
XM_040167321.1	chrII	8245408	8245408	chrII	8240052	8325974	+	XM_040167321.1	path1	P78333 B2R726 O60436 Q9BX27	Glypican-5		 PF01153;	 GO:0046658;GO:0009986;GO:0062023;GO:0005576;GO:0005615;GO:0005796;GO:0016021;GO:0043202;GO:0005886;GO:0016477;GO:0006024;GO:0006027;GO:0090263;GO:1905475;GO:0001523;	  C:anchored component of plasma membrane; C:cell surface; C:collagen-containing extracellular matrix; C:extracellular region; C:extracellular space; C:Golgi lumen; C:integral component of membrane; C:lysosomal lumen; C:plasma membrane;	 	  P:cell migration; P:glycosaminoglycan biosynthetic process; P:glycosaminoglycan catabolic process; P:positive regulation of canonical Wnt signaling pathway; P:regulation of protein localization to membrane; P:retinoid metabolic process;
XM_040164547.1	chrII	8355240	8355240	chrII	8335561	8432963	-	XM_040164547.1	path1	Q5RE54	Glypican-6		 PF01153;	 GO:0046658;GO:0062023;GO:0005615;GO:0016477;GO:0009966;	  C:anchored component of plasma membrane; C:collagen-containing extracellular matrix; C:extracellular space;	 	  P:cell migration; P:regulation of signal transduction;
XM_040166369.1	chrII	8473336	8473336	chrII	8490444	8512551	+	XM_040166369.1	path1	Q8WWI1 E9PLH4 O15462 O95346 Q5TBK6 Q9UKC1 Q9UQM5 Q9Y6A7	LIM domain only protein 7	F-box only protein 20;LOMP;	 PF00307;PF15949;PF00412;PF00595;	 GO:0016324;GO:0009986;GO:0005737;GO:0005829;GO:0005925;GO:0005635;GO:0005634;GO:0000151;GO:0046872;GO:0004842;GO:0045944;GO:0043687;GO:0000209;GO:0016567;GO:0030155;GO:0023051;	  C:apical plasma membrane; C:cell surface; C:cytoplasm; C:cytosol; C:focal adhesion; C:nuclear envelope; C:nucleus; C:ubiquitin ligase complex;	  F:metal ion binding; F:ubiquitin-protein transferase activity;	  P:positive regulation of transcription by RNA polymerase II; P:post-translational protein modification; P:protein polyubiquitination; P:protein ubiquitination; P:regulation of cell adhesion; P:regulation of signaling;
XM_040202818.1	chrII	8488486	8488486	chrII	8516798	8521225	-	XM_040202818.1	path1	Q96CX2	BTB/POZ domain-containing protein KCTD12	Pfetin;Predominantly fetal expressed T1 domain;	 PF02214;	 GO:0042995;GO:0045211;GO:0042734;GO:0042802;GO:0003723;GO:0051260;	  C:cell projection; C:postsynaptic membrane; C:presynaptic membrane;	  F:identical protein binding; F:RNA binding;	  P:protein homooligomerization;
XM_040168314.1	chrII	8540162	8540162	chrII	8530126	8536135	-	XM_040168314.1	path1	Q8UWF0	High-affinity choline transporter 1		 PF00474;	 GO:0016021;GO:0015220;GO:0015293;GO:0008292;GO:0006814;	  C:integral component of membrane;	  F:choline transmembrane transporter activity; F:symporter activity;	  P:acetylcholine biosynthetic process; P:sodium ion transport;
XM_040204268.1	chrII	8540162	8540162	chrII	8537776	8543185	-	XM_040204268.1	path1	Q5M9P8	ADP-ribosylation factor-like protein 6		 PF00025;	 GO:0005930;GO:0060170;GO:0005525;GO:0003924;GO:0046872;GO:0060271;GO:0007368;GO:0007369;GO:0006886;GO:0070121;GO:0032402;GO:0033339;GO:0061512;GO:0008593;GO:0050896;GO:0016192;GO:0007601;	  C:axoneme; C:ciliary membrane;	  F:GTP binding; F:GTPase activity; F:metal ion binding;	  P:cilium assembly; P:determination of left/right symmetry; P:gastrulation; P:intracellular protein transport; P:Kupffer's vesicle development; P:melanosome transport; P:pectoral fin development; P:protein localization to cilium; P:regulation of Notch signaling pathway; P:response to stimulus; P:vesicle-mediated transport; P:visual perception;
XM_040204255.1	chrII	8540162	8540162	chrII	8543717	8580703	-	XM_040204255.1	path1	Q62413 B9EIV2 Q8CCN2	Ephrin type-A receptor 6	EPH homology kinase 2;	 PF14575;PF01404;PF00041;PF07714;PF00536;	 GO:0005887;GO:0043005;GO:0005654;GO:0043235;GO:0005524;GO:0004714;GO:0005005;GO:0007411;GO:0007275;GO:0033674;GO:0007169;	  C:integral component of plasma membrane; C:neuron projection; C:nucleoplasm; C:receptor complex;	  F:ATP binding; F:transmembrane receptor protein tyrosine kinase activity; F:transmembrane-ephrin receptor activity;	  P:axon guidance; P:multicellular organism development; P:positive regulation of kinase activity; P:transmembrane receptor protein tyrosine kinase signaling pathway;
XM_040163422.1	chrII	10950517	10950517	chrII	10909896	10927882	+	XM_040163422.1	path1	Q7Z442 Q6UEE1 Q6ZN46 Q6ZSP2 Q8N1H9 Q96CL2 Q96Q08	Polycystic kidney disease protein 1-like 2	PC1-like 2 protein;Polycystin-1L2;	 PF02140;PF01825;PF00059;PF08016;PF01477;PF02010;	 GO:0016021;GO:0016020;GO:0005262;GO:0005509;GO:0030246;GO:0050982;	  C:integral component of membrane; C:membrane;	  F:calcium channel activity; F:calcium ion binding; F:carbohydrate binding;	  P:detection of mechanical stimulus;
XM_040203845.1	chrII	10950517	10950517	chrII	10928330	10954458	+	XM_040203845.1	path1	Q9WV30 E9Q0P3 E9Q6U2 G5E8N9 Q91WY0 Q9JLA1	Nuclear factor of activated T-cells 5	Rel domain-containing transcription factor NFAT5;T-cell transcription factor NFAT5;	 PF16179;PF00554;	 GO:0005737;GO:0005829;GO:0005654;GO:0005634;GO:0005667;GO:0003677;GO:0001228;GO:0003700;GO:0000981;GO:0000978;GO:1990837;GO:0008134;GO:0033173;GO:0071345;GO:0010628;GO:1904996;GO:1901224;GO:0045944;GO:0070884;GO:0006357;GO:0006970;GO:0006366;GO:0006351;	  C:cytoplasm; C:cytosol; C:nucleoplasm; C:nucleus; C:transcription regulator complex;	  F:DNA binding; F:DNA-binding transcription activator activity, RNA polymerase II-specific; F:DNA-binding transcription factor activity; F:DNA-binding transcription factor activity, RNA polymerase II-specific; F:RNA polymerase II cis-regulatory region sequence-specific DNA binding; F:sequence-specific double-stranded DNA binding; F:transcription factor binding;	  P:calcineurin-NFAT signaling cascade; P:cellular response to cytokine stimulus; P:positive regulation of gene expression; P:positive regulation of leukocyte adhesion to vascular endothelial cell; P:positive regulation of NIK/NF-kappaB signaling; P:positive regulation of transcription by RNA polymerase II; P:regulation of calcineurin-NFAT signaling cascade; P:regulation of transcription by RNA polymerase II; P:response to osmotic stress; P:transcription by RNA polymerase II; P:transcription, DNA-templated;
XM_040201715.1	chrII	10950517	10950517	chrII	10955766	10962627	+	XM_040201715.1	path1	Q99MN1	Lysine--tRNA ligase	Lysyl-tRNA synthetase;	 PF00152;PF01336;	 GO:0017101;GO:0005737;GO:0005829;GO:0005615;GO:0005739;GO:0005634;GO:0005886;GO:0016597;GO:0003877;GO:0005524;GO:0042802;GO:0004824;GO:0042803;GO:0097110;GO:0000049;GO:0002276;GO:0015966;GO:0070371;GO:0006430;GO:0002863;GO:0043032;GO:0045893;GO:0010165;	  C:aminoacyl-tRNA synthetase multienzyme complex; C:cytoplasm; C:cytosol; C:extracellular space; C:mitochondrion; C:nucleus; C:plasma membrane;	  F:amino acid binding; F:ATP adenylyltransferase activity; F:ATP binding; F:identical protein binding; F:lysine-tRNA ligase activity; F:protein homodimerization activity; F:scaffold protein binding; F:tRNA binding;	  P:basophil activation involved in immune response; P:diadenosine tetraphosphate biosynthetic process; P:ERK1 and ERK2 cascade; P:lysyl-tRNA aminoacylation; P:positive regulation of inflammatory response to antigenic stimulus; P:positive regulation of macrophage activation; P:positive regulation of transcription, DNA-templated; P:response to X-ray;
XM_040201753.1	chrII	10950517	10950517	chrII	10963794	10968614	+	XM_040201753.1	path1	P11183	Glycine cleavage system H protein, mitochondrial {ECO:0000303|PubMed:1993703}	Lipoic acid-containing protein;	 PF01597;	 GO:0005737;GO:0005960;GO:0005739;GO:0019464;GO:0009249;	  C:cytoplasm; C:glycine cleavage complex; C:mitochondrion;	 	  P:glycine decarboxylation via glycine cleavage system; P:protein lipoylation;
XM_040201729.1	chrII	10950517	10950517	chrII	10970247	10973256	+	XM_040201729.1	path1	Q90Z10	60S ribosomal protein L13		 PF01294;	 GO:0022625;GO:0003723;GO:0003735;GO:0051726;GO:0006412;	  C:cytosolic large ribosomal subunit;	  F:RNA binding; F:structural constituent of ribosome;	  P:regulation of cell cycle; P:translation;
XM_040160346.1	chrII	10950517	10950517	chrII	10976951	11000375	+	XM_040160346.1	path1	H1UBN0	Copine-7 {ECO:0000305}	Copine VII {ECO:0000250|UniProtKB:Q99829, ECO:0000312|RGD:1307466};	 PF00168;PF07002;	 GO:0005737;GO:0005634;GO:0005886;GO:0005544;GO:0046872;GO:0071277;	  C:cytoplasm; C:nucleus; C:plasma membrane;	  F:calcium-dependent phospholipid binding; F:metal ion binding;	  P:cellular response to calcium ion;
XM_040169283.1	chrII	10985254	10985254	chrII	11023236	11026886	+	XM_040169283.1	path1	P97292 Q9D282	Histamine H2 receptor	Gastric receptor I;	 PF00001;	 GO:0030425;GO:0005887;GO:0016020;GO:0045202;GO:0004993;GO:1901363;GO:0004969;GO:0030594;GO:0007268;GO:0048565;GO:0003382;GO:0007187;GO:0001696;GO:0001698;GO:0048732;GO:0001697;GO:0007613;GO:1900139;GO:0045907;GO:0048167;GO:1901998;GO:0008542;	  C:dendrite; C:integral component of plasma membrane; C:membrane; C:synapse;	  F:G protein-coupled serotonin receptor activity; F:heterocyclic compound binding; F:histamine receptor activity; F:neurotransmitter receptor activity;	  P:chemical synaptic transmission; P:digestive tract development; P:epithelial cell morphogenesis; P:G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger; P:gastric acid secretion; P:gastrin-induced gastric acid secretion; P:gland development; P:histamine-induced gastric acid secretion; P:memory; P:negative regulation of arachidonic acid secretion; P:positive regulation of vasoconstriction; P:regulation of synaptic plasticity; P:toxin transport; P:visual learning;
XM_040164604.1	chrII	10988507	10988507	chrII	11029439	11033334	-	XM_040164604.1	path1	P56395	Cytochrome b5		 PF00173;	 GO:0005829;GO:0005783;GO:0005789;GO:0016021;GO:0043231;GO:0016020;GO:0005739;GO:0009055;GO:0019899;GO:0020037;GO:0046872;GO:0004768;GO:0006631;GO:0046686;	  C:cytosol; C:endoplasmic reticulum; C:endoplasmic reticulum membrane; C:integral component of membrane; C:intracellular membrane-bounded organelle; C:membrane; C:mitochondrion;	  F:electron transfer activity; F:enzyme binding; F:heme binding; F:metal ion binding; F:stearoyl-CoA 9-desaturase activity;	  P:fatty acid metabolic process; P:response to cadmium ion;
XM_040196163.1	chrII	10995608	10995608	chrII	11034603	11049674	+	XM_040196163.1	path1	Q17R09	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16	ATP-dependent RNA helicase DHX38;DEAH box protein 38;	 PF00270;PF04408;PF00271;PF07717;	 GO:0071013;GO:0005681;GO:0005524;GO:0016787;GO:0003723;GO:0003724;GO:0000398;	  C:catalytic step 2 spliceosome; C:spliceosomal complex;	  F:ATP binding; F:hydrolase activity; F:RNA binding; F:RNA helicase activity;	  P:mRNA splicing, via spliceosome;
XM_040201775.1	chrII	12000352	12000352	chrII	11942926	11969290	+	XM_040201775.1	path1	Q2EY14	Protogenin A		 PF00041;PF07679;	 GO:0016021;GO:0050768;	  C:integral component of membrane;	 	  P:negative regulation of neurogenesis;
XM_040201786.1	chrII	12000352	12000352	chrII	11969691	11977469	+	XM_040201786.1	path1	Q5R6R3	Cell cycle progression protein 1		 	 GO:0016021;GO:0007049;GO:2001106;	  C:integral component of membrane;	 	  P:cell cycle; P:regulation of Rho guanyl-nucleotide exchange factor activity;
XM_040201817.1	chrII	12000352	12000352	chrII	11977486	11981200	-	XM_040201817.1	path1	Q7SXZ1	GPI mannosyltransferase 3	GPI mannosyltransferase III;Phosphatidylinositol-glycan biosynthesis class B protein;	 PF03901;	 GO:0005789;GO:0016021;GO:0000026;GO:0004376;GO:0000030;GO:0006506;	  C:endoplasmic reticulum membrane; C:integral component of membrane;	  F:alpha-1,2-mannosyltransferase activity; F:glycolipid mannosyltransferase activity; F:mannosyltransferase activity;	  P:GPI anchor biosynthetic process;
XM_040197318.1	chrII	12000352	12000352	chrII	11982140	11983214	+	XM_040197318.1	path1	A0A0B4J2F0	Protein PIGBOS1 {ECO:0000305}	PIGB opposite strand protein 1 {ECO:0000312|HGNC:HGNC:50696};	 	 GO:0031307;GO:1900101;GO:0006986;	  C:integral component of mitochondrial outer membrane;	 	  P:regulation of endoplasmic reticulum unfolded protein response; P:response to unfolded protein;
XM_040197296.1	chrII	12000352	12000352	chrII	11983956	11991706	+	XM_040197296.1	path1	P51159 O00195 Q6FI40 Q9UIR9 Q9Y5U3	Ras-related protein Rab-27A	GTP-binding protein Ram;	 PF00071;	 GO:0016324;GO:0005829;GO:0030425;GO:0070382;GO:0070062;GO:0005576;GO:0005794;GO:0005770;GO:0005764;GO:0042470;GO:0033162;GO:0032585;GO:0001750;GO:0030141;GO:0030667;GO:0035580;GO:0033093;GO:0003925;GO:0019003;GO:0005525;GO:0003924;GO:0031489;GO:0019904;GO:0019882;GO:0007596;GO:0097278;GO:0043316;GO:0006887;GO:1990182;GO:0030318;GO:0032400;GO:0032402;GO:0036257;GO:0071985;GO:0043320;GO:0043312;GO:1903435;GO:0045921;GO:0010628;GO:0050766;GO:1903428;GO:1903307;GO:0006605;GO:0048489;	  C:apical plasma membrane; C:cytosol; C:dendrite; C:exocytic vesicle; C:extracellular exosome; C:extracellular region; C:Golgi apparatus; C:late endosome; C:lysosome; C:melanosome; C:melanosome membrane; C:multivesicular body membrane; C:photoreceptor outer segment; C:secretory granule; C:secretory granule membrane; C:specific granule lumen; C:Weibel-Palade body;	  F:G protein activity; F:GDP binding; F:GTP binding; F:GTPase activity; F:myosin V binding; F:protein domain specific binding;	  P:antigen processing and presentation; P:blood coagulation; P:complement-dependent cytotoxicity; P:cytotoxic T cell degranulation; P:exocytosis; P:exosomal secretion; P:melanocyte differentiation; P:melanosome localization; P:melanosome transport; P:multivesicular body organization; P:multivesicular body sorting pathway; P:natural killer cell degranulation; P:neutrophil degranulation; P:positive regulation of constitutive secretory pathway; P:positive regulation of exocytosis; P:positive regulation of gene expression; P:positive regulation of phagocytosis; P:positive regulation of reactive oxygen species biosynthetic process; P:positive regulation of regulated secretory pathway; P:protein targeting; P:synaptic vesicle transport;
XM_040161248.1	chrII	12000352	12000352	chrII	11992769	11999340	+	XM_040161248.1	path1	Q8K3G5 Q921W6	Inactive serine/threonine-protein kinase VRK3	Serine/threonine-protein pseudokinase VRK3;Vaccinia-related kinase 3;	 PF00069;PF13240;	 GO:0005737;GO:0043231;GO:0005730;GO:0005654;GO:0005634;GO:0005524;GO:0019903;GO:0004674;GO:0070373;GO:0018105;GO:0032516;	  C:cytoplasm; C:intracellular membrane-bounded organelle; C:nucleolus; C:nucleoplasm; C:nucleus;	  F:ATP binding; F:protein phosphatase binding; F:protein serine/threonine kinase activity;	  P:negative regulation of ERK1 and ERK2 cascade; P:peptidyl-serine phosphorylation; P:positive regulation of phosphoprotein phosphatase activity;
XM_040197285.1	chrII	12000352	12000352	chrII	11998744	12007760	-	XM_040197285.1	path1	Q6ZS17 B4DEQ9 B4DIM2 E9PBS3 Q4G0A4 Q7Z5R7 Q8NDA4 Q96J39 Q96PV8 Q9H8D9	Rho family-interacting cell polarization regulator 1		 PF15903;	 GO:0031252;GO:0005737;GO:0070062;GO:0005794;GO:0016020;GO:0012506;GO:0071889;GO:1990869;GO:0009267;GO:0051683;GO:2001107;GO:0035024;GO:0030335;GO:0090316;GO:0034067;GO:0009611;GO:0007266;	  C:cell leading edge; C:cytoplasm; C:extracellular exosome; C:Golgi apparatus; C:membrane; C:vesicle membrane;	  F:14-3-3 protein binding;	  P:cellular response to chemokine; P:cellular response to starvation; P:establishment of Golgi localization; P:negative regulation of Rho guanyl-nucleotide exchange factor activity; P:negative regulation of Rho protein signal transduction; P:positive regulation of cell migration; P:positive regulation of intracellular protein transport; P:protein localization to Golgi apparatus; P:response to wounding; P:Rho protein signal transduction;
XM_040202598.1	chrII	12000352	12000352	chrII	12009492	12015319	-	XM_040202598.1	path1	Q08705	Transcriptional repressor CTCF	11-zinc finger protein;CCCTC-binding factor;CTCFL paralog;	 PF00096;	 GO:0005634;GO:0000981;GO:0046872;GO:0000977;GO:0006357;	  C:nucleus;	  F:DNA-binding transcription factor activity, RNA polymerase II-specific; F:metal ion binding; F:RNA polymerase II transcription regulatory region sequence-specific DNA binding;	  P:regulation of transcription by RNA polymerase II;
XM_040198171.1	chrII	12000352	12000352	chrII	12017074	12021743	+	XM_040198171.1	path1	Q6F5E8 B8X2Z3	Capping protein, Arp2/3 and myosin-I linker protein 2 {ECO:0000303|PubMed:19846667}	Capping protein regulator and myosin 1 linker 2 {ECO:0000312|HGNC:HGNC:27089};F-actin-uncapping protein RLTPR {ECO:0000305};Leucine-rich repeat-containing protein 16C;RGD, leucine-rich repeat, tropomodulin and proline-rich-containing protein {ECO:0000303|PubMed:15588584};	 PF17888;PF16000;PF13516;	 GO:0015629;GO:0031252;GO:0005737;GO:0031234;GO:0045111;GO:0030027;GO:0044354;GO:0016020;GO:0005886;GO:0001726;GO:0005543;GO:0044877;GO:0051639;GO:0007163;GO:0061339;GO:0030011;GO:2000813;GO:0030335;GO:0090091;GO:0010592;GO:1902745;GO:1900029;GO:0044319;	  C:actin cytoskeleton; C:cell leading edge; C:cytoplasm; C:extrinsic component of cytoplasmic side of plasma membrane; C:intermediate filament cytoskeleton; C:lamellipodium; C:macropinosome; C:membrane; C:plasma membrane; C:ruffle;	  F:phospholipid binding; F:protein-containing complex binding;	  P:actin filament network formation; P:establishment or maintenance of cell polarity; P:establishment or maintenance of monopolar cell polarity; P:maintenance of cell polarity; P:negative regulation of barbed-end actin filament capping; P:positive regulation of cell migration; P:positive regulation of extracellular matrix disassembly; P:positive regulation of lamellipodium assembly; P:positive regulation of lamellipodium organization; P:positive regulation of ruffle assembly; P:wound healing, spreading of cells;
